,Age,Fare,Parch,Pclass,SibSp,Survived
150,51.0,12.525,0,2,0,0
151,22.0,66.6,0,1,1,1
152,55.5,8.05,0,3,0,0
153,40.5,14.5,2,3,0,0
154,28.0,7.3125,0,3,0,0
155,51.0,61.3792,1,1,0,0
156,16.0,7.7333,0,3,0,1
157,30.0,8.05,0,3,0,0
158,28.0,8.6625,0,3,0,0
159,28.0,69.55,2,3,8,0
160,44.0,16.1,1,3,0,0
161,40.0,15.75,0,2,0,1
162,26.0,7.775,0,3,0,0
163,17.0,8.6625,0,3,0,0
164,1.0,39.6875,1,3,4,0
165,9.0,20.525,2,3,0,1
166,28.0,55.0,1,1,0,1
167,45.0,27.9,4,3,1,0
168,28.0,25.925,0,1,0,0
169,28.0,56.4958,0,3,0,0
170,61.0,33.5,0,1,0,0
171,4.0,29.125,1,3,4,0
172,1.0,11.1333,1,3,1,1
173,21.0,7.925,0,3,0,0
174,56.0,30.6958,0,1,0,0
175,18.0,7.8542,1,3,1,0
176,28.0,25.4667,1,3,3,0
177,50.0,28.7125,0,1,0,0
178,30.0,13.0,0,2,0,0
179,36.0,0.0,0,3,0,0
180,28.0,69.55,2,3,8,0
181,28.0,15.05,0,2,0,0
182,9.0,31.3875,2,3,4,0
183,1.0,39.0,1,2,2,1
184,4.0,22.025,2,3,0,1
185,28.0,50.0,0,1,0,0
186,28.0,15.5,0,3,1,1
187,45.0,26.55,0,1,0,1
188,40.0,15.5,1,3,1,0
189,36.0,7.8958,0,3,0,0
190,32.0,13.0,0,2,0,1
191,19.0,13.0,0,2,0,0
192,19.0,7.8542,0,3,1,1
193,3.0,26.0,1,2,1,1
194,44.0,27.7208,0,1,0,1
195,58.0,146.5208,0,1,0,1
196,28.0,7.75,0,3,0,0
197,42.0,8.4042,1,3,0,0
198,28.0,7.75,0,3,0,1
199,24.0,13.0,0,2,0,0
200,28.0,9.5,0,3,0,0
201,28.0,69.55,2,3,8,0
202,34.0,6.4958,0,3,0,0
203,45.5,7.225,0,3,0,0
204,18.0,8.05,0,3,0,1
205,2.0,10.4625,1,3,0,0
206,32.0,15.85,0,3,1,0
207,26.0,18.7875,0,3,0,1
208,16.0,7.75,0,3,0,1
209,40.0,31.0,0,1,0,1
210,24.0,7.05,0,3,0,0
211,35.0,21.0,0,2,0,1
212,22.0,7.25,0,3,0,0
213,30.0,13.0,0,2,0,0
214,28.0,7.75,0,3,1,0
215,31.0,113.275,0,1,1,1
216,27.0,7.925,0,3,0,1
217,42.0,27.0,0,2,1,0
218,32.0,76.2917,0,1,0,1
219,30.0,10.5,0,2,0,0
220,16.0,8.05,0,3,0,1
221,27.0,13.0,0,2,0,0
222,51.0,8.05,0,3,0,0
223,28.0,7.8958,0,3,0,0
224,38.0,90.0,0,1,1,1
225,22.0,9.35,0,3,0,0
226,19.0,10.5,0,2,0,1
227,20.5,7.25,0,3,0,0
228,18.0,13.0,0,2,0,0
229,28.0,25.4667,1,3,3,0
230,35.0,83.475,0,1,1,1
231,29.0,7.775,0,3,0,0
232,59.0,13.5,0,2,0,0
233,5.0,31.3875,2,3,4,1
234,24.0,10.5,0,2,0,0
235,28.0,7.55,0,3,0,0
236,44.0,26.0,0,2,1,0
237,8.0,26.25,2,2,0,1
238,19.0,10.5,0,2,0,0
239,33.0,12.275,0,2,0,0
240,28.0,14.4542,0,3,1,0
241,28.0,15.5,0,3,1,1
242,29.0,10.5,0,2,0,0
243,22.0,7.125,0,3,0,0
244,30.0,7.225,0,3,0,0
245,44.0,90.0,0,1,2,0
246,25.0,7.775,0,3,0,0
247,24.0,14.5,2,2,0,1
248,37.0,52.5542,1,1,1,1
249,54.0,26.0,0,2,1,0
250,28.0,7.25,0,3,0,0
251,29.0,10.4625,1,3,1,0
252,62.0,26.55,0,1,0,0
253,30.0,16.1,0,3,1,0
254,41.0,20.2125,2,3,0,0
255,29.0,15.2458,2,3,0,1
256,28.0,79.2,0,1,0,1
257,30.0,86.5,0,1,0,1
258,35.0,512.3292,0,1,0,1
259,50.0,26.0,1,2,0,1
260,28.0,7.75,0,3,0,0
261,3.0,31.3875,2,3,4,1
262,52.0,79.65,1,1,1,0
263,40.0,0.0,0,1,0,0
264,28.0,7.75,0,3,0,0
265,36.0,10.5,0,2,0,0
266,16.0,39.6875,1,3,4,0
267,25.0,7.775,0,3,1,1
268,58.0,153.4625,1,1,0,1
269,35.0,135.6333,0,1,0,1
270,28.0,31.0,0,1,0,0
271,25.0,0.0,0,3,0,1
272,41.0,19.5,1,2,0,1
273,37.0,29.7,1,1,0,0
274,28.0,7.75,0,3,0,1
275,63.0,77.9583,0,1,1,1
276,45.0,7.75,0,3,0,0
277,28.0,0.0,0,2,0,0
278,7.0,29.125,1,3,4,0
279,35.0,20.25,1,3,1,1
280,65.0,7.75,0,3,0,0
281,28.0,7.8542,0,3,0,0
282,16.0,9.5,0,3,0,0
283,19.0,8.05,0,3,0,1
284,28.0,26.0,0,1,0,0
285,33.0,8.6625,0,3,0,0
286,30.0,9.5,0,3,0,1
287,22.0,7.8958,0,3,0,0
288,42.0,13.0,0,2,0,1
289,22.0,7.75,0,3,0,1
290,26.0,78.85,0,1,0,1
291,19.0,91.0792,0,1,1,1
292,36.0,12.875,0,2,0,0
293,24.0,8.85,0,3,0,0
294,24.0,7.8958,0,3,0,0
295,28.0,27.7208,0,1,0,0
296,23.5,7.2292,0,3,0,0
297,2.0,151.55,2,1,1,0
298,28.0,30.5,0,1,0,1
299,50.0,247.5208,1,1,0,1
300,28.0,7.75,0,3,0,1
301,28.0,23.25,0,3,2,1
302,19.0,0.0,0,3,0,0
303,28.0,12.35,0,2,0,1
304,28.0,8.05,0,3,0,0
305,0.92,151.55,2,1,1,1
306,28.0,110.8833,0,1,0,1
307,17.0,108.9,0,1,1,1
308,30.0,24.0,0,2,1,0
309,30.0,56.9292,0,1,0,1
310,24.0,83.1583,0,1,0,1
311,18.0,262.375,2,1,2,1
312,26.0,26.0,1,2,1,0
313,28.0,7.8958,0,3,0,0
314,43.0,26.25,1,2,1,0
315,26.0,7.8542,0,3,0,1
316,24.0,26.0,0,2,1,1
317,54.0,14.0,0,2,0,0
318,31.0,164.8667,2,1,0,1
319,40.0,134.5,1,1,1,1
320,22.0,7.25,0,3,0,0
321,27.0,7.8958,0,3,0,0
322,30.0,12.35,0,2,0,1
323,22.0,29.0,1,2,1,1
324,28.0,69.55,2,3,8,0
325,36.0,135.6333,0,1,0,1
326,61.0,6.2375,0,3,0,0
327,36.0,13.0,0,2,0,1
328,31.0,20.525,1,3,1,1
329,16.0,57.9792,1,1,0,1
330,28.0,23.25,0,3,2,1
331,45.5,28.5,0,1,0,0
332,38.0,153.4625,1,1,0,0
333,16.0,18.0,0,3,2,0
334,28.0,133.65,0,1,1,1
335,28.0,7.8958,0,3,0,0
336,29.0,66.6,0,1,1,0
337,41.0,134.5,0,1,0,1
338,45.0,8.05,0,3,0,1
339,45.0,35.5,0,1,0,0
340,2.0,26.0,1,2,1,1
341,24.0,263.0,2,1,3,1
342,28.0,13.0,0,2,0,0
343,25.0,13.0,0,2,0,0
344,36.0,13.0,0,2,0,0
345,24.0,13.0,0,2,0,1
346,40.0,13.0,0,2,0,1
347,28.0,16.1,0,3,1,1
348,3.0,15.9,1,3,1,1
349,42.0,8.6625,0,3,0,0
350,23.0,9.225,0,3,0,0
351,28.0,35.0,0,1,0,0
352,15.0,7.2292,1,3,1,0
353,25.0,17.8,0,3,1,0
354,28.0,7.225,0,3,0,0
355,28.0,9.5,0,3,0,0
356,22.0,55.0,1,1,0,1
357,38.0,13.0,0,2,0,0
358,28.0,7.8792,0,3,0,1
359,28.0,7.8792,0,3,0,1
360,40.0,27.9,4,3,1,0
361,29.0,27.7208,0,2,1,0
362,45.0,14.4542,1,3,0,0
363,35.0,7.05,0,3,0,0
364,28.0,15.5,0,3,1,0
365,30.0,7.25,0,3,0,0
366,60.0,75.25,0,1,1,1
367,28.0,7.2292,0,3,0,1
368,28.0,7.75,0,3,0,1
369,24.0,69.3,0,1,0,1
370,25.0,55.4417,0,1,1,1
371,18.0,6.4958,0,3,1,0
372,19.0,8.05,0,3,0,0
373,22.0,135.6333,0,1,0,0
374,3.0,21.075,1,3,3,0
375,28.0,82.1708,0,1,1,1
376,22.0,7.25,0,3,0,1
377,27.0,211.5,2,1,0,0
378,20.0,4.0125,0,3,0,0
379,19.0,7.775,0,3,0,0
380,42.0,227.525,0,1,0,1
381,1.0,15.7417,2,3,0,1
382,32.0,7.925,0,3,0,0
383,35.0,52.0,0,1,1,1
384,28.0,7.8958,0,3,0,0
385,18.0,73.5,0,2,0,0
386,1.0,46.9,2,3,5,0
387,36.0,13.0,0,2,0,1
388,28.0,7.7292,0,3,0,0
389,17.0,12.0,0,2,0,1
390,36.0,120.0,2,1,1,1
391,21.0,7.7958,0,3,0,1
392,28.0,7.925,0,3,2,0
393,23.0,113.275,0,1,1,1
394,24.0,16.7,2,3,0,1
395,22.0,7.7958,0,3,0,0
396,31.0,7.8542,0,3,0,0
397,46.0,26.0,0,2,0,0
398,23.0,10.5,0,2,0,0
399,28.0,12.65,0,2,0,1
400,39.0,7.925,0,3,0,1
401,26.0,8.05,0,3,0,0
402,21.0,9.825,0,3,1,0
403,28.0,15.85,0,3,1,0
404,20.0,8.6625,0,3,0,0
405,34.0,21.0,0,2,1,0
406,51.0,7.75,0,3,0,0
407,3.0,18.75,1,2,1,1
408,21.0,7.775,0,3,0,0
409,28.0,25.4667,1,3,3,0
410,28.0,7.8958,0,3,0,0
411,28.0,6.8583,0,3,0,0
412,33.0,90.0,0,1,1,1
413,28.0,0.0,0,2,0,0
414,44.0,7.925,0,3,0,1
415,28.0,8.05,0,3,0,0
416,34.0,32.5,1,2,1,1
417,18.0,13.0,2,2,0,1
418,30.0,13.0,0,2,0,0
419,10.0,24.15,2,3,0,0
420,28.0,7.8958,0,3,0,0
421,21.0,7.7333,0,3,0,0
422,29.0,7.875,0,3,0,0
423,28.0,14.4,1,3,1,0
424,18.0,20.2125,1,3,1,0
425,28.0,7.25,0,3,0,0
426,28.0,26.0,0,2,1,1
427,19.0,26.0,0,2,0,1
428,28.0,7.75,0,3,0,0
429,32.0,8.05,0,3,0,1
430,28.0,26.55,0,1,0,1
431,28.0,16.1,0,3,1,1
432,42.0,26.0,0,2,1,1
433,17.0,7.125,0,3,0,0
434,50.0,55.9,0,1,1,0
435,14.0,120.0,2,1,1,1
436,21.0,34.375,2,3,2,0
437,24.0,18.75,3,2,2,1
438,64.0,263.0,4,1,1,0
439,31.0,10.5,0,2,0,0
440,45.0,26.25,1,2,1,1
441,20.0,9.5,0,3,0,0
442,25.0,7.775,0,3,1,0
443,28.0,13.0,0,2,0,1
444,28.0,8.1125,0,3,0,1
445,4.0,81.8583,2,1,0,1
446,13.0,19.5,1,2,0,1
447,34.0,26.55,0,1,0,1
448,5.0,19.2583,1,3,2,1
449,52.0,30.5,0,1,0,1
450,36.0,27.75,2,2,1,0
451,28.0,19.9667,0,3,1,0
452,30.0,27.75,0,1,0,0
453,49.0,89.1042,0,1,1,1
454,28.0,8.05,0,3,0,0
455,29.0,7.8958,0,3,0,1
456,65.0,26.55,0,1,0,0
457,28.0,51.8625,0,1,1,1
458,50.0,10.5,0,2,0,1
459,28.0,7.75,0,3,0,0
460,48.0,26.55,0,1,0,1
461,34.0,8.05,0,3,0,0
462,47.0,38.5,0,1,0,0
463,48.0,13.0,0,2,0,0
464,28.0,8.05,0,3,0,0
465,38.0,7.05,0,3,0,0
466,28.0,0.0,0,2,0,0
467,56.0,26.55,0,1,0,0
468,28.0,7.725,0,3,0,0
469,0.75,19.2583,1,3,2,1
470,28.0,7.25,0,3,0,0
471,38.0,8.6625,0,3,0,0
472,33.0,27.75,2,2,1,1
473,23.0,13.7917,0,2,0,1
474,22.0,9.8375,0,3,0,0
475,28.0,52.0,0,1,0,0
476,34.0,21.0,0,2,1,0
477,29.0,7.0458,0,3,1,0
478,22.0,7.5208,0,3,0,0
479,2.0,12.2875,1,3,0,1
480,9.0,46.9,2,3,5,0
481,28.0,0.0,0,2,0,0
482,50.0,8.05,0,3,0,0
483,63.0,9.5875,0,3,0,1
484,25.0,91.0792,0,1,1,1
485,28.0,25.4667,1,3,3,0
486,35.0,90.0,0,1,1,1
487,58.0,29.7,0,1,0,0
488,30.0,8.05,0,3,0,0
489,9.0,15.9,1,3,1,1
490,28.0,19.9667,0,3,1,0
491,21.0,7.25,0,3,0,0
492,55.0,30.5,0,1,0,0
493,71.0,49.5042,0,1,0,0
494,21.0,8.05,0,3,0,0
495,28.0,14.4583,0,3,0,0
496,54.0,78.2667,0,1,1,1
497,28.0,15.1,0,3,0,0
498,25.0,151.55,2,1,1,0
499,24.0,7.7958,0,3,0,0
500,17.0,8.6625,0,3,0,0
501,21.0,7.75,0,3,0,0
502,28.0,7.6292,0,3,0,0
503,37.0,9.5875,0,3,0,0
504,16.0,86.5,0,1,0,1
505,18.0,108.9,0,1,1,0
506,33.0,26.0,2,2,0,1
507,28.0,26.55,0,1,0,1
508,28.0,22.525,0,3,0,0
509,26.0,56.4958,0,3,0,1
510,29.0,7.75,0,3,0,1
511,28.0,8.05,0,3,0,0
512,36.0,26.2875,0,1,0,1
513,54.0,59.4,0,1,1,1
514,24.0,7.4958,0,3,0,0
515,47.0,34.0208,0,1,0,0
516,34.0,10.5,0,2,0,1
517,28.0,24.15,0,3,0,0
518,36.0,26.0,0,2,1,1
519,32.0,7.8958,0,3,0,0
520,30.0,93.5,0,1,0,1
521,22.0,7.8958,0,3,0,0
522,28.0,7.225,0,3,0,0
523,44.0,57.9792,1,1,0,1
524,28.0,7.2292,0,3,0,0
525,40.5,7.75,0,3,0,0
526,50.0,10.5,0,2,0,1
527,28.0,221.7792,0,1,0,0
528,39.0,7.925,0,3,0,0
529,23.0,11.5,1,2,2,0
530,2.0,26.0,1,2,1,1
531,28.0,7.2292,0,3,0,0
532,17.0,7.2292,1,3,1,0
533,28.0,22.3583,2,3,0,1
534,30.0,8.6625,0,3,0,0
535,7.0,26.25,2,2,0,1
536,45.0,26.55,0,1,0,0
537,30.0,106.425,0,1,0,1
538,28.0,14.5,0,3,0,0
539,22.0,49.5,2,1,0,1
540,36.0,71.0,2,1,0,1
541,9.0,31.275,2,3,4,0
542,11.0,31.275,2,3,4,0
543,32.0,26.0,0,2,1,1
544,50.0,106.425,0,1,1,0
545,64.0,26.0,0,1,0,0
546,19.0,26.0,0,2,1,1
547,28.0,13.8625,0,2,0,1
548,33.0,20.525,1,3,1,0
549,8.0,36.75,1,2,1,1
550,17.0,110.8833,2,1,0,1
551,27.0,26.0,0,2,0,0
552,28.0,7.8292,0,3,0,0
553,22.0,7.225,0,3,0,1
554,22.0,7.775,0,3,0,1
555,62.0,26.55,0,1,0,0
556,48.0,39.6,0,1,1,1
557,28.0,227.525,0,1,0,0
558,39.0,79.65,1,1,1,1
559,36.0,17.4,0,3,1,1
560,28.0,7.75,0,3,0,0
561,40.0,7.8958,0,3,0,0
562,28.0,13.5,0,2,0,0
563,28.0,8.05,0,3,0,0
564,28.0,8.05,0,3,0,0
565,24.0,24.15,0,3,2,0
566,19.0,7.8958,0,3,0,0
567,29.0,21.075,4,3,0,0
568,28.0,7.2292,0,3,0,0
569,32.0,7.8542,0,3,0,1
570,62.0,10.5,0,2,0,1
571,53.0,51.4792,0,1,2,1
572,36.0,26.3875,0,1,0,1
573,28.0,7.75,0,3,0,1
574,16.0,8.05,0,3,0,0
575,19.0,14.5,0,3,0,0
576,34.0,13.0,0,2,0,1
577,39.0,55.9,0,1,1,1
578,28.0,14.4583,0,3,1,0
579,32.0,7.925,0,3,0,1
580,25.0,30.0,1,2,1,1
581,39.0,110.8833,1,1,1,1
582,54.0,26.0,0,2,0,0
583,36.0,40.125,0,1,0,0
584,28.0,8.7125,0,3,0,0
585,18.0,79.65,2,1,0,1
586,47.0,15.0,0,2,0,0
587,60.0,79.2,1,1,1,1
588,22.0,8.05,0,3,0,0
589,28.0,8.05,0,3,0,0
590,35.0,7.125,0,3,0,0
591,52.0,78.2667,0,1,1,1
592,47.0,7.25,0,3,0,0
593,28.0,7.75,2,3,0,0
594,37.0,26.0,0,2,1,0
595,36.0,24.15,1,3,1,0
596,28.0,33.0,0,2,0,1
597,49.0,0.0,0,3,0,0
598,28.0,7.225,0,3,0,0
599,49.0,56.9292,0,1,1,1
600,24.0,27.0,1,2,2,1
601,28.0,7.8958,0,3,0,0
602,28.0,42.4,0,1,0,0
603,44.0,8.05,0,3,0,0
604,35.0,26.55,0,1,0,1
605,36.0,15.55,0,3,1,0
606,30.0,7.8958,0,3,0,0
607,27.0,30.5,0,1,0,1
608,22.0,41.5792,2,2,1,1
609,40.0,153.4625,0,1,0,1
610,39.0,31.275,5,3,1,0
611,28.0,7.05,0,3,0,0
612,28.0,15.5,0,3,1,1
613,28.0,7.75,0,3,0,0
614,35.0,8.05,0,3,0,0
615,24.0,65.0,2,2,1,1
616,34.0,14.4,1,3,1,0
617,26.0,16.1,0,3,1,0
618,4.0,39.0,1,2,2,1
619,26.0,10.5,0,2,0,0
620,27.0,14.4542,0,3,1,0
621,42.0,52.5542,0,1,1,1
622,20.0,15.7417,1,3,1,1
623,21.0,7.8542,0,3,0,0
624,21.0,16.1,0,3,0,0
625,61.0,32.3208,0,1,0,0
626,57.0,12.35,0,2,0,0
627,21.0,77.9583,0,1,0,1
628,26.0,7.8958,0,3,0,0
629,28.0,7.7333,0,3,0,0
630,80.0,30.0,0,1,0,1
631,51.0,7.0542,0,3,0,0
632,32.0,30.5,0,1,0,1
633,28.0,0.0,0,1,0,0
634,9.0,27.9,2,3,3,0
635,28.0,13.0,0,2,0,1
636,32.0,7.925,0,3,0,0
637,31.0,26.25,1,2,1,0
638,41.0,39.6875,5,3,0,0
639,28.0,16.1,0,3,1,0
640,20.0,7.8542,0,3,0,0
641,24.0,69.3,0,1,0,1
642,2.0,27.9,2,3,3,0
643,28.0,56.4958,0,3,0,1
644,0.75,19.2583,1,3,2,1
645,48.0,76.7292,0,1,1,1
646,19.0,7.8958,0,3,0,0
647,56.0,35.5,0,1,0,1
648,28.0,7.55,0,3,0,0
649,23.0,7.55,0,3,0,1
650,28.0,7.8958,0,3,0,0
651,18.0,23.0,1,2,0,1
652,21.0,8.4333,0,3,0,0
653,28.0,7.8292,0,3,0,1
654,18.0,6.75,0,3,0,0
655,24.0,73.5,0,2,2,0
656,28.0,7.8958,0,3,0,0
657,32.0,15.5,1,3,1,0
658,23.0,13.0,0,2,0,0
659,58.0,113.275,2,1,0,0
660,50.0,133.65,0,1,2,1
661,40.0,7.225,0,3,0,0
662,47.0,25.5875,0,1,0,0
663,36.0,7.4958,0,3,0,0
664,20.0,7.925,0,3,1,1
665,32.0,73.5,0,2,2,0
666,25.0,13.0,0,2,0,0
667,28.0,7.775,0,3,0,0
668,43.0,8.05,0,3,0,0
669,28.0,52.0,0,1,1,1
670,40.0,39.0,1,2,1,1
671,31.0,52.0,0,1,1,0
672,70.0,10.5,0,2,0,0
673,31.0,13.0,0,2,0,1
674,28.0,0.0,0,2,0,0
675,18.0,7.775,0,3,0,0
676,24.5,8.05,0,3,0,0
677,18.0,9.8417,0,3,0,1
678,43.0,46.9,6,3,1,0
679,36.0,512.3292,1,1,0,1
680,28.0,8.1375,0,3,0,0
681,27.0,76.7292,0,1,0,1
682,20.0,9.225,0,3,0,0
683,14.0,46.9,2,3,5,0
684,60.0,39.0,1,2,1,0
685,25.0,41.5792,2,2,1,0
686,14.0,39.6875,1,3,4,0
687,19.0,10.1708,0,3,0,0
688,18.0,7.7958,0,3,0,0
689,15.0,211.3375,1,1,0,1
690,31.0,57.0,0,1,1,1
691,4.0,13.4167,1,3,0,1
692,28.0,56.4958,0,3,0,1
693,25.0,7.225,0,3,0,0
694,60.0,26.55,0,1,0,0
695,52.0,13.5,0,2,0,0
696,44.0,8.05,0,3,0,0
697,28.0,7.7333,0,3,0,1
698,49.0,110.8833,1,1,1,0
699,42.0,7.65,0,3,0,0
700,18.0,227.525,0,1,1,1
701,35.0,26.2875,0,1,0,1
702,18.0,14.4542,1,3,0,0
703,25.0,7.7417,0,3,0,0
704,26.0,7.8542,0,3,1,0
705,39.0,26.0,0,2,0,0
706,45.0,13.5,0,2,0,1
707,42.0,26.2875,0,1,0,1
708,22.0,151.55,0,1,0,1
709,28.0,15.2458,1,3,1,1
710,24.0,49.5042,0,1,0,1
711,28.0,26.55,0,1,0,0
712,48.0,52.0,0,1,1,1
713,29.0,9.4833,0,3,0,0
714,52.0,13.0,0,2,0,0
715,19.0,7.65,0,3,0,0
716,38.0,227.525,0,1,0,1
717,27.0,10.5,0,2,0,1
718,28.0,15.5,0,3,0,0
719,33.0,7.775,0,3,0,0
720,6.0,33.0,1,2,0,1
721,17.0,7.0542,0,3,1,0
722,34.0,13.0,0,2,0,0
723,50.0,13.0,0,2,0,0
724,27.0,53.1,0,1,1,1
725,20.0,8.6625,0,3,0,0
726,30.0,21.0,0,2,3,1
727,28.0,7.7375,0,3,0,1
728,25.0,26.0,0,2,1,0
729,25.0,7.925,0,3,1,0
730,29.0,211.3375,0,1,0,1
731,11.0,18.7875,0,3,0,0
732,28.0,0.0,0,2,0,0
733,23.0,13.0,0,2,0,0
734,23.0,13.0,0,2,0,0
735,28.5,16.1,0,3,0,0
736,48.0,34.375,3,3,1,0
737,35.0,512.3292,0,1,0,1
738,28.0,7.8958,0,3,0,0
739,28.0,7.8958,0,3,0,0
740,28.0,30.0,0,1,0,1
741,36.0,78.85,0,1,1,0
742,21.0,262.375,2,1,2,1
743,24.0,16.1,0,3,1,0
744,31.0,7.925,0,3,0,1
745,70.0,71.0,1,1,1,0
746,16.0,20.25,1,3,1,0
747,30.0,13.0,0,2,0,1
748,19.0,53.1,0,1,1,0
749,31.0,7.75,0,3,0,0
750,4.0,23.0,1,2,1,1
751,6.0,12.475,1,3,0,1
752,33.0,9.5,0,3,0,0
753,23.0,7.8958,0,3,0,0
754,48.0,65.0,2,2,1,1
755,0.67,14.5,1,2,1,1
756,28.0,7.7958,0,3,0,0
757,18.0,11.5,0,2,0,0
758,34.0,8.05,0,3,0,0
759,33.0,86.5,0,1,0,1
760,28.0,14.5,0,3,0,0
